Indicator,Industry,Title,Description,Actor,Preconditions,Trigger,Use Case
BEGIN USE CASE,Automotive,Vehicle Maintenance,track vehicle maintenance schedules,Mechanic,Mechanic is logged into the system,Mechanic selects a vehicle,
,,,,,,,"Title: Vehicle Software Diagnostics
Actor: Automotive Technician
Description: Run diagnostic tests on vehicle’s various software systems
Preconditions: Technician is logged into the system, proper vehicle is connected to the diagnostic tool
Trigger: Technician selects a vehicle and chooses the Diagnostics feature

Main Flow:
1. [Actor] logs into the system.
2. [Actor] connects the vehicle to the diagnostic machine and selects correct make/model.
3. [Actor] clicks on ""Run Diagnostics"".
4. The system runs tests on vehicle software systems, such as engine management, brake control, and infotainment systems.
5. The system presents the results with clearly marked failures or potential issues.

Alternative Flows:
5a. If no issues are detected, the system communicates that all systems are normal.

Postconditions: Diagnostic tests have been successfully run on the vehicle, with results presented in an easily understandable way.
Exceptions: If diagnostics machine or software is non-operational, [Actor] is notified and given instructions to restart or troubleshoot."
END USE CASE,,,,,,,
BEGIN USE CASE,Banking,Loan Processing,process a loan application,Bank Officer,Bank Officer is logged into the loan processing system,Customer submits a loan application,
,,,,,,,"Title: Mobile Banking
Actor: Retail Bank Customer
Description: Performing daily transactions through Mobile Banking
Preconditions: Retail Bank Customer has the Bank's Mobile App installed and set up with valid login credentials. 

Trigger: Customer wants to make a transaction via Mobile App

Main Flow:
1. [Actor] logs into the Mobile Banking App.
2. [Actor] authenticates using password, fingerprint or facial recognition.
3. [Actor] chooses from various transaction options available - e.g., Transfer Money, Bill Payment, etc.
4. The system validates the selected transaction and executes it, post-verification.
5. The system sends a transactional alert on the customer's registered mobile/email.
6. [Actor] logs out of the Mobile Banking App.

Alternative Flows:
3a. If [Actor] forgets login credentials, the system offers an option to rest or retrieve.
5a. If transaction fails, the system alerts the customer with an error message and provides potential troubleshooting steps.

Postconditions: The transaction made using the Mobile Banking App is successfully executed.
Exceptions: If the system is unavailable or the internet connection is unstable, [Actor] is notified."
END USE CASE,,,,,,,
BEGIN USE CASE,Insurance,Claim Filing,file an insurance claim,Insurance Agent,Insurance Agent is on the claims page,Customer reports an incident,
,,,,,,,"Title: Premium Calculation
Actor: Insurance Agent
Description: calculate insurance premium for a policyholder
Preconditions: Insurance Agent is on the premium calculation page
Trigger: Policyholder requests an insurance quote

Main Flow:
1. [Actor] logs into the system.
2. [Actor] navigates to the Premium Calculation page.
3. [Actor] inputs the policyholder's details and desired coverage.
4. The system validates the input.
5. The system calculates and displays the premium.
6. [Actor] forwards the premium cost to the policyholder.

Alternative Flows:
1a. If [Actor] provides invalid input, the system displays an error message.
5a. If the policyholder's desired coverage is unavailable, the system notifies [Actor].

Postconditions: The Premium Calculation is successful and a policyholder receives the quote.
Exceptions: If the system is unavailable, [Actor] is notified."
END USE CASE,,,,,,,
BEGIN USE CASE,Healthcare,Patient Appointment,schedule a patient appointment,Receptionist,Receptionist is logged into the appointment system,Patient requests an appointment,
,,,,,,,"Title: Electronic Medical Record Management
Actor: Medical Practitioner
Description: Create, update, or view a patient's electronic medical record
Preconditions: Medical Practitioner is logged into the medical record system
Trigger: Patient visits or contacts the clinic

Main Flow:
1. [Actor] logs into the system.
2. [Actor] navigates to the Electronic Medical Record page.
3. [Actor] enters patient information to retrieve existing record or create a new one.
4. The system validates the input.
5. The system displays the existing medical record or creates a new one.
6. [Actor] adds or updates medical information on the patient’s record.
7. The system saves the changes made to the patient's electronic medical record.

Alternative Flows:
4a. If [Actor] provides invalid input, the system displays an error message.
7a. If changes could not be saved, the system shows an error and prompts the [Actor] to retry.

Postconditions: The patient's Electronic Medical Record is successfully updated or created.
Exceptions: If the system is unavailable, [Actor] is notified."
END USE CASE,,,,,,,
BEGIN USE CASE,Public Sector,Voter Registration,register a new voter,Government Official,Official is on the voter registration page,Citizen requests to register as a voter,
